sim;PR2;PR5;PR10;PR20;TR;PHI;Temp;BGF;Inv;Maint;UNA;GA;CO2;TSS;TP;TN;Cu;Pb;Zn
sim70;0.32;0.22;0.18;0.33;0.53;0.48;0.002;0.38;3251384.99;191461.727;76.21092125;2490.468365;1786.467417;0.62;0.55;0.56;0.57;0.62;0.62
sim71;0.63;0.56;0.56;0.61;0.31;0.3;0.002;0.37;2829843.21;161293.1321;65.61351208;2043.941249;1574.67265;0.58;0.54;0.54;0.55;0.58;0.58
sim72;0.29;0.27;0.3;0.28;0.5;0.48;0.0016;0.31;1425827.925;78747.78733;75.06906559;1072.911336;2144.054448;0.86;0.8;0.83;0.83;0.86;0.86
sim73;0.16;0.1;0.11;0.1;0.45;0.43;0.0035;0.65;3851250.307;230673.7434;78.99844562;2998.83058;5874.292626;0.47;0.47;0.46;0.46;0.47;0.47
sim74;0.22;0.1;0.1;0.18;0.43;0.39;0.0008;0.08;66470.04524;1049.138493;50.43165828;102.5779584;238.0261115;0.72;0.67;0.69;0.7;0.72;0.72
sim75;0.35;0.26;0.24;0.32;0.66;0.57;0.0016;0.18;1318338.988;75763.2413;66.3159233;1029.319817;845.5577334;0.48;0.47;0.47;0.47;0.48;0.48
sim76;0.32;0.25;0.22;0.28;0.3;0.29;0.0031;0.68;3895708.92;232052.9706;66.58749372;2971.830426;5930.069466;0.92;0.9;0.9;0.9;0.93;0.92
sim77;0.19;0.18;0.18;0.18;0.55;0.5;0.002;0.4;2090785.832;119413.5724;72.53058205;1568.252249;3093.956835;0.28;0.26;0.27;0.27;0.28;0.28
sim78;0.24;0.2;0.23;0.2;0.4;0.39;0.002;0.5;2660361.577;153586.1758;65.34689761;1967.490109;3980.394855;0.8;0.63;0.7;0.72;0.8;0.8
sim79;0.6;0.51;0.51;0.53;0.44;0.39;0.0008;0.08;110716.9408;2149.734815;49.04225728;87.21224692;256.2324129;0.98;0.95;0.96;0.97;0.98;0.98
sim80;0.1;0.08;0.09;0.08;0.33;0.32;0.0016;0.22;917671.7221;44750.28695;72.44881664;617.502139;1245.566922;0.21;0.03;0.11;0.12;0.21;0.21
sim81;0.24;0.17;0.18;0.21;0.37;0.36;0.0023;0.48;2684021.192;158207.6016;52.11978225;2029.850839;4065.388204;0.9;0.86;0.87;0.88;0.9;0.9
sim82;0.54;0.48;0.44;0.49;0.37;0.36;0.002;0.37;2052889.941;118009.9227;92.0593357;1608.501235;3029.120166;0.66;0.66;0.65;0.65;0.66;0.66
