sim,GR_Type,GR_Cluster,Terrain_Cluster,Total_GR_Area,Total_Terrain_Area,Terrain_Cluster_Name,GR_Cluster_Name
48,GR20,GR20,1,1859.968687,164.6469011,Tree-Heavy Terrain,20cm Green Roof
49,GR20,GR20,1,921.110789,59.499749009999995,Tree-Heavy Terrain,20cm Green Roof
50,GR20,GR20,2,921.110789,121.033772,Mixed Terrain,20cm Green Roof
51,GR5,GR5,1,1859.968687,119.81854600000001,Tree-Heavy Terrain,5cm Green Roof
52,GR20,GR20,2,2365.947894,90.61788465000001,Mixed Terrain,20cm Green Roof
53,GR20,GR20,1,505.979207,106.74236811,Tree-Heavy Terrain,20cm Green Roof
54,GR5,GR5,1,2860.383758,143.59090700000002,Tree-Heavy Terrain,5cm Green Roof
55,GR20,GR20,1,1921.5258599999997,156.01971234,Tree-Heavy Terrain,20cm Green Roof
56,GR5,GR5,1,494.435864,114.55180396,Tree-Heavy Terrain,5cm Green Roof
57,GR20,GR20,2,1000.4150709999999,107.42501888,Mixed Terrain,20cm Green Roof
58,GR5,GR5,2,938.857898,174.45851076,Mixed Terrain,5cm Green Roof
59,GR20,GR20,1,494.435864,91.74473782,Tree-Heavy Terrain,20cm Green Roof
60,GR20,GR20,0,1921.5258599999997,120.79522684,BC-Heavy Terrain,20cm Green Roof
61,GR20,GR20,2,921.110789,163.40560107000002,Mixed Terrain,20cm Green Roof
62,GR5,GR5,1,2354.404551,132.64285229,Tree-Heavy Terrain,5cm Green Roof
63,GR5,GR5,2,2860.383758,116.47517484,Mixed Terrain,5cm Green Roof
64,GR5,GR5,0,1939.272969,97.98993758,BC-Heavy Terrain,5cm Green Roof
65,GR5,GR5,0,921.110789,75.80271919,BC-Heavy Terrain,5cm Green Roof
66,GR5,GR5,1,1433.293762,82.22202158,Tree-Heavy Terrain,5cm Green Roof
67,GR5,GR5,2,2860.383758,106.46689711,Mixed Terrain,5cm Green Roof
68,GR20,GR20,2,1427.089996,152.58524333,Mixed Terrain,20cm Green Roof
69,GR20,GR20,2,2365.947894,96.92613906,Mixed Terrain,20cm Green Roof
70,GR5,GR5,1,2354.404551,126.06381431,Tree-Heavy Terrain,5cm Green Roof
71,GR5,GR5,2,1939.272969,104.6682802,Mixed Terrain,5cm Green Roof
72,GR20,GR20,2,938.857898,114.05343815999998,Mixed Terrain,20cm Green Roof
73,GR20,GR20,1,2860.383758,128.44682196000002,Tree-Heavy Terrain,20cm Green Roof
74,GR20,GR20,0,0.0,72.57795841000001,BC-Heavy Terrain,20cm Green Roof
75,GR5,GR5,0,921.110789,98.2090283,BC-Heavy Terrain,5cm Green Roof
