Sim;1;2;3;4;5;6;7;8;9;10;11;Mean
53;88.93946994401783;90.35554606243569;90.81416988549638;77.94880834943703;96.89353931065499;100.91651930845124;97.05621908377672;92.91376602367068;91.3839381460232;85.86709087761352;83.31943473921379;90.58259106643555
54;98.1223736376255;101.9507365066276;103.31853491838238;91.20118693459068;109.59803434336709;114.47064717879607;110.31416141053892;103.21211890570272;101.99781518014643;99.03901456397563;96.67870234428662;102.71848417491269
55;70.49395601947352;68.43687443786236;72.40951197850629;59.31959389706882;74.12421087067787;78.38609444440209;76.52442613145509;71.90728105996793;73.2269789461484;64.82338600688605;65.15572588450138;70.43709451608635
56;65.56934289050517;70.48755636322856;65.41317956847706;58.93430722476559;74.30712393909334;75.52390002821679;71.02763426579217;70.84562862162043;65.8854029799946;66.23408958722507;61.06092532087804;67.75355370816334
57;102.44215157225936;106.59684977543611;111.10822851651686;98.65445088673826;115.30680989652936;121.47180674979106;117.98242039148542;107.07296099511153;108.33787795964273;105.71805865864212;104.66653228664599;109.0325588807999
58;47.78617621255812;60.87265072891161;54.56260674652053;58.07404048290141;63.893330431181624;64.33582891455885;59.84153471579857;55.28321331682025;50.09406964117372;62.62940736043361;56.44810118151263;57.62008724839735
59;73.49922299994725;84.81635801139923;78.24531757356694;76.09825854839818;89.4362467699467;90.79142775550902;85.18796843881752;81.40388598861001;75.59395404325316;83.60506882663438;76.52213773702681;81.3818042448281
60;99.91909096879323;100.48079813454277;101.8523986835741;86.53849926546766;107.96642950384121;112.75395821053081;108.68822854601665;103.90859030403394;102.72730067173931;95.26577971930976;93.0278305337367;101.19353677650783
61;80.30402915105968;88.78954686808855;79.65729416836079;74.0700998133457;93.09307994221226;93.73128038842654;87.23424542042356;87.9389033430226;80.17752549473843;83.80173846777691;75.19774675943152;83.99958998335332
62;68.01362659066594;71.06609322668899;69.93219209517193;61.91757253360629;75.94413060076042;78.62731728637517;75.13140353755924;71.97405454664356;69.80587342518243;68.16248186715225;65.14626458110627;70.5200918446284
63;67.66755195004303;61.33642334605285;70.81078968794327;54.844698260113205;67.81397431863556;73.71823131500501;73.67364566566864;66.44403964349338;71.7545882342268;58.674963735848095;62.42430547390924;66.28756469372173
64;50.366100555418626;57.97151709418661;51.06670323739111;49.61252806051315;60.6215414480146;60.73643704069045;56.20325655458572;56.15132268926649;50.466119410792295;55.710952687634816;49.44894482484125;54.395947600303195
65;37.641607851216754;47.05472515623623;47.783200357486656;50.04317656632408;50.738591023433386;53.07460910492313;51.1279456598665;42.468211990755464;41.900887532753394;51.226802469026765;50.138442323888555;47.56347273053736
66;66.30375908020694;72.89281532813888;71.94263763953947;66.94172280147674;77.89111550926863;80.6718844384313;77.18956218081034;71.34738039626032;69.48564743791538;72.37303513558686;69.21935989127162;72.38717453080969
67;94.07847523145489;96.32431690814366;97.02263307917075;84.20885357909603;103.40888900410292;107.80465439466359;103.7091434331636;98.41205616683376;97.11019607718039;92.38952339777609;89.57136334767299;96.73091860175077
68;67.20633114240903;56.548180357273004;63.1851284682459;43.72687853855872;62.03228845611291;66.75979617790031;66.12066835147753;64.95269238483937;68.24772411391584;49.4807291673752;51.86901888026446;60.01176691257929
69;70.54398580252743;71.77946177159083;80.14407413571374;70.16313218680546;78.84658374731568;84.84685024587269;83.99399021710279;72.3933828288216;76.66793425925971;73.10647227217211;75.83426632644185;76.21092125396581
70;72.04321196984628;62.13914996085657;68.75149734433215;49.22883713699307;68.0457310644895;73.01947632503118;72.1105317960167;70.27023505358117;73.40691413006097;55.265020883136614;57.468027200354705;65.61351207860899
71;68.62900075133982;75.38894869593977;74.70714091188432;69.64254813862598;80.6744532007076;83.68052056043055;80.13370608889782;73.67022927093305;72.13581959134746;75.19897271151001;71.89838156514887;75.06906558970593
72;78.10388603572915;81.70980078267922;76.50319428004694;67.28998045334855;86.39998635813477;88.11032651016556;83.01355785019759;83.2039845303875;78.30575000772426;76.1934696170393;70.14896540746258;78.99844562117413
73;40.03563112562823;49.898614165430146;50.80629916237342;52.81939616014293;53.75502434047696;56.232321787063086;54.25510267882014;45.11791229039303;44.59405846347503;54.11308750667624;53.120793396318184;50.431658279708856
